N,Repetition,Rate_TUM,Rate_Random,Rate_EPA
10,388,1.0315352802989095,0.5757657597095251,0.7179575892241488
10,389,1.623216558552702,1.1000642361583701,1.3425679461202955
10,390,1.3983417055337701,0.5000728427983554,1.073687448143227
10,391,1.9478831681870667,1.078459016559379,1.5841014373161375
10,392,0.4571363875255006,0.21202794600157354,0.3834976630912872
10,393,2.1611176924148436,1.6262796454592974,1.6969101418092873
10,394,5.475945115600344,2.362004086763271,4.752628821154151
10,395,1.2586554121547746,0.6058967361735436,0.8646933603165671
10,396,9.625888695410257,8.256180835968339,9.394937470212371
10,397,1.0343194948349985,0.6344564885112857,0.7159405038216253
10,398,1.6002363560911972,1.193020998203028,1.349598702050523
10,399,1.0465373295278506,0.5507496388241059,0.7323138804963678
10,400,1.0042286250538068,0.9849913770174933,0.6716837382198051
10,401,0.8901304651027998,0.5596809726515293,0.6872879679883607
10,402,0.8362270488668131,0.47078534949194073,0.5678452170223112
10,403,0.9670969413270611,0.4158222184107857,0.7456976505989183
10,404,11.498529626660705,6.854888623499384,10.491914796726382
10,405,7.105578847448275,2.9104872366920587,6.489651197553088
10,406,0.5369989096994967,0.25009028749563766,0.4405107830466077
10,407,0.7810889757168931,0.30445429515246697,0.5649660271339456
10,408,1.4971060371728804,0.6215666622601097,1.1718488999040293
10,409,5.165837077360846,3.834297566865398,6.737173976484968
10,410,1.2731095205242724,0.8625056285177533,0.9728818510759574
10,411,2.410026803170737,1.6687410166814067,1.8562474705963539
10,412,3.4928871496939218,1.6398434500750536,2.4912105437548444
10,413,1.0366793484836876,0.3639228411848108,0.6978921285160191
10,414,2.3961673076389487,0.3805887148976165,1.9073959209349354
10,415,3.6192698677796162,2.53157949885872,2.908837371941574
10,416,1.3547379200544098,0.9501315123491253,1.0700954399186027
10,417,2.3332805014510773,0.8670745829016726,2.1874022725398223
10,418,5.0170706138356,0.36928916815968627,4.243381518502399
10,419,5.401551137931386,2.542767317975508,4.89008670295988
10,420,0.5627163308578478,0.2680323268180513,0.4995421910053408
10,421,1.5120787627182168,1.0392835956193873,1.1983364797605571
10,422,2.9147924348049767,2.5778448965109035,2.3317802814288777
10,423,1.2747275159540419,0.26478245445158033,0.9229092816616211
10,424,1.0768995569319653,0.4837461758619942,0.9995960557057394
10,425,1.141046219048346,0.630652175150481,1.0230354297363384
10,426,1.190447520107647,0.8247402079548011,0.9554223192899983
10,427,1.128848365681036,0.6131954567139676,0.9484047119361506
10,428,3.425474484362446,2.263576344557803,3.004472262252366
10,429,3.70348108626824,2.4954141171545468,3.4581344203573026
10,430,1.4056945260137677,1.217160641533233,1.1651707204462005
10,431,0.22970736011427856,0.22559897122245784,0.22969451870327381
10,432,8.977708809987421,3.6304392987884073,8.549011083673399
10,433,7.119564240524326,4.957142908723469,5.658317764057996
10,434,2.0076300806907437,1.2254771751893387,1.7547913688258956
10,435,1.3140420326136852,0.26651945695384577,0.9955002688379853
10,436,2.6791127264053944,1.6867998978895662,2.3689575433645294
10,437,1.6507145693853091,0.6095579937236429,1.3871123948229123
10,438,4.867032811631501,2.7770181343922244,4.46532279127649
10,439,1.5620499011852864,1.287825025320754,1.1170203510330892
10,440,2.9650520859116702,0.7794906583280711,2.2238377720382325
10,441,0.4750697525148573,0.230272945016533,0.47499251698036804
10,442,1.5853232441225589,0.6104318934451701,0.9587019160393054
10,443,1.6854681493380725,0.5555542184794767,1.369265052269085
10,444,0.9120991542116833,0.46312105331314934,0.8175395630605317
10,445,0.9862996305330172,1.195977135041152,0.7324905973897193
10,446,1.6461686557249064,0.8918722768368013,1.3246934208410748
10,447,1.8534366011733934,1.881044857936457,1.4656863806963718
10,448,0.5369616619200378,0.33072931493668967,0.4762907191738833
10,449,2.422374601010157,0.8716966170926381,1.9215644718083453
10,450,4.035360839321142,0.853393899035675,3.6797308800475665
10,451,1.3289772046953385,0.5312371177570689,1.0192369485002146
10,452,0.33562184926366784,0.17042315137040676,0.33557223270044695
10,453,0.8867167773845601,0.6019149903052835,0.6664718056763971
10,454,4.267081999821586,2.604919133605646,3.7284796065688295
10,455,2.6973632724508123,2.2187623399874323,2.2928731728408827
10,456,1.2122846590264882,0.21811839476567116,0.9075697404552965
10,457,0.8496750829172413,0.8761661895664116,0.6604833137276329
10,458,7.951885257348763,5.0870560813904735,7.061423588942161
10,459,0.6820574375494032,0.4366370839283578,0.5905045364222344
